# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.573983e+01	1.290176e-26
1.577611e+01	1.298867e-26
1.581248e+01	1.305421e-26
1.584893e+01	1.314205e-26
1.588547e+01	1.323044e-26
1.592209e+01	1.329707e-26
1.595879e+01	1.338639e-26
1.599558e+01	1.347624e-26
1.603245e+01	1.354398e-26
1.606941e+01	1.363477e-26
1.610646e+01	1.372610e-26
1.614359e+01	1.379495e-26
1.618080e+01	1.388723e-26
1.621810e+01	1.398004e-26
1.625549e+01	1.407339e-26
1.629296e+01	1.414376e-26
1.633052e+01	1.423806e-26
1.636817e+01	1.433291e-26
1.640590e+01	1.442830e-26
1.644372e+01	1.450020e-26
1.648162e+01	1.459654e-26
1.651962e+01	1.469342e-26
1.655770e+01	1.479085e-26
1.659587e+01	1.488883e-26
1.663413e+01	1.496267e-26
1.667247e+01	1.506161e-26
1.671091e+01	1.516109e-26
1.674943e+01	1.526113e-26
1.678804e+01	1.536171e-26
1.682674e+01	1.546284e-26
1.686553e+01	1.556453e-26
1.690441e+01	1.564115e-26
1.694338e+01	1.574380e-26
1.698244e+01	1.584699e-26
1.702159e+01	1.595075e-26
1.706082e+01	1.605505e-26
1.710015e+01	1.615991e-26
1.713957e+01	1.626532e-26
1.717908e+01	1.637129e-26
1.721869e+01	1.647781e-26
1.725838e+01	1.658489e-26
1.729816e+01	1.669252e-26
1.733804e+01	1.680071e-26
1.737801e+01	1.690946e-26
1.741807e+01	1.701876e-26
1.745822e+01	1.712862e-26
1.749847e+01	1.723904e-26
1.753881e+01	1.735002e-26
1.757924e+01	1.746156e-26
1.761976e+01	1.757365e-26
1.766038e+01	1.768631e-26
1.770109e+01	1.779953e-26
1.774189e+01	1.791330e-26
1.778279e+01	1.802764e-26
1.782379e+01	1.814254e-26
1.786488e+01	1.825800e-26
1.790606e+01	1.840311e-26
1.794734e+01	1.851984e-26
1.798871e+01	1.863713e-26
1.803018e+01	1.875498e-26
1.807174e+01	1.887339e-26
1.811340e+01	1.899237e-26
1.815516e+01	1.914189e-26
1.819701e+01	1.926214e-26
1.823896e+01	1.938294e-26
1.828100e+01	1.950433e-26
1.832314e+01	1.962626e-26
1.836538e+01	1.977949e-26
1.840772e+01	1.990270e-26
1.845015e+01	2.002649e-26
1.849269e+01	2.015083e-26
1.853532e+01	2.030707e-26
1.857804e+01	2.043269e-26
1.862087e+01	2.055888e-26
1.866380e+01	2.068564e-26
1.870682e+01	2.084488e-26
1.874995e+01	2.097292e-26
1.879317e+01	2.110152e-26
1.883649e+01	2.126308e-26
1.887991e+01	2.139296e-26
1.892344e+01	2.152341e-26
1.896706e+01	2.168727e-26
1.901078e+01	2.181901e-26
1.905461e+01	2.195131e-26
1.909853e+01	2.211749e-26
1.914256e+01	2.225107e-26
1.918669e+01	2.241885e-26
1.923092e+01	2.255372e-26
1.927525e+01	2.272311e-26
1.931968e+01	2.285926e-26
1.936422e+01	2.299598e-26
1.940886e+01	2.316768e-26
1.945360e+01	2.330569e-26
1.949845e+01	2.347900e-26
1.954339e+01	2.361830e-26
1.958845e+01	2.379321e-26
1.963360e+01	2.393379e-26
1.967886e+01	2.411032e-26
1.972423e+01	2.425218e-26
1.976970e+01	2.443032e-26
1.981527e+01	2.460935e-26
1.986095e+01	2.475322e-26
1.990673e+01	2.493386e-26
1.995262e+01	2.507902e-26
1.999862e+01	2.526127e-26
2.004472e+01	2.540772e-26
2.009093e+01	2.559158e-26
2.013724e+01	2.577633e-26
2.018366e+01	2.592479e-26
2.023019e+01	2.611116e-26
2.027683e+01	2.629843e-26
2.032357e+01	2.644888e-26
2.037042e+01	2.663777e-26
2.041738e+01	2.682754e-26
2.046445e+01	2.698000e-26
2.051162e+01	2.717140e-26
2.055891e+01	2.736368e-26
2.060630e+01	2.755687e-26
2.065380e+01	2.771206e-26
2.070141e+01	2.790686e-26
2.074914e+01	2.810255e-26
2.079697e+01	2.829914e-26
2.084491e+01	2.845706e-26
2.089296e+01	2.865526e-26
2.094112e+01	2.885437e-26
2.098940e+01	2.905437e-26
2.103778e+01	2.925527e-26
