# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.573983e+01	9.910896e-27
1.577611e+01	9.945489e-27
1.581248e+01	9.971564e-27
1.584893e+01	1.000650e-26
1.588547e+01	1.004163e-26
1.592209e+01	1.006811e-26
1.595879e+01	1.010359e-26
1.599558e+01	1.013927e-26
1.603245e+01	1.016616e-26
1.606941e+01	1.020219e-26
1.610646e+01	1.023843e-26
1.614359e+01	1.026574e-26
1.618080e+01	1.030234e-26
1.621810e+01	1.033915e-26
1.625549e+01	1.037617e-26
1.629296e+01	1.040408e-26
1.633052e+01	1.044147e-26
1.636817e+01	1.047908e-26
1.640590e+01	1.051690e-26
1.644372e+01	1.054541e-26
1.648162e+01	1.058361e-26
1.651962e+01	1.062204e-26
1.655770e+01	1.066068e-26
1.659587e+01	1.069956e-26
1.663413e+01	1.072886e-26
1.667247e+01	1.076813e-26
1.671091e+01	1.080762e-26
1.674943e+01	1.084735e-26
1.678804e+01	1.088731e-26
1.682674e+01	1.092750e-26
1.686553e+01	1.096792e-26
1.690441e+01	1.099840e-26
1.694338e+01	1.103924e-26
1.698244e+01	1.108031e-26
1.702159e+01	1.112163e-26
1.706082e+01	1.116319e-26
1.710015e+01	1.120500e-26
1.713957e+01	1.124705e-26
1.717908e+01	1.128935e-26
1.721869e+01	1.133190e-26
1.725838e+01	1.137470e-26
1.729816e+01	1.141775e-26
1.733804e+01	1.146105e-26
1.737801e+01	1.150461e-26
1.741807e+01	1.154842e-26
1.745822e+01	1.159250e-26
1.749847e+01	1.163683e-26
1.753881e+01	1.168143e-26
1.757924e+01	1.172629e-26
1.761976e+01	1.177142e-26
1.766038e+01	1.181681e-26
1.770109e+01	1.186247e-26
1.774189e+01	1.190840e-26
1.778279e+01	1.195460e-26
1.782379e+01	1.200108e-26
1.786488e+01	1.204783e-26
1.790606e+01	1.210665e-26
1.794734e+01	1.215403e-26
1.798871e+01	1.220169e-26
1.803018e+01	1.224962e-26
1.807174e+01	1.229784e-26
1.811340e+01	1.234635e-26
1.815516e+01	1.240739e-26
1.819701e+01	1.245654e-26
1.823896e+01	1.250598e-26
1.828100e+01	1.255572e-26
1.832314e+01	1.260575e-26
1.836538e+01	1.266871e-26
1.840772e+01	1.271940e-26
1.845015e+01	1.277040e-26
1.849269e+01	1.282170e-26
1.853532e+01	1.288624e-26
1.857804e+01	1.293822e-26
1.862087e+01	1.299051e-26
1.866380e+01	1.304310e-26
1.870682e+01	1.310928e-26
1.874995e+01	1.316257e-26
1.879317e+01	1.321618e-26
1.883649e+01	1.328363e-26
1.887991e+01	1.333794e-26
1.892344e+01	1.339258e-26
1.896706e+01	1.346132e-26
1.901078e+01	1.351668e-26
1.905461e+01	1.357235e-26
1.909853e+01	1.364241e-26
1.914256e+01	1.369883e-26
1.918669e+01	1.376981e-26
1.923092e+01	1.382696e-26
1.927525e+01	1.389888e-26
1.931968e+01	1.395678e-26
1.936422e+01	1.401502e-26
1.940886e+01	1.408830e-26
1.945360e+01	1.414730e-26
1.949845e+01	1.422154e-26
1.954339e+01	1.428131e-26
1.958845e+01	1.435651e-26
1.963360e+01	1.441706e-26
1.967886e+01	1.449324e-26
1.972423e+01	1.455458e-26
1.976970e+01	1.463175e-26
1.981527e+01	1.470946e-26
1.986095e+01	1.477204e-26
1.990673e+01	1.485076e-26
1.995262e+01	1.491414e-26
1.999862e+01	1.499388e-26
2.004472e+01	1.505808e-26
2.009093e+01	1.513883e-26
2.013724e+01	1.522016e-26
2.018366e+01	1.528564e-26
2.023019e+01	1.536801e-26
2.027683e+01	1.545095e-26
2.032357e+01	1.551773e-26
2.037042e+01	1.560173e-26
2.041738e+01	1.568632e-26
2.046445e+01	1.575442e-26
2.051162e+01	1.584008e-26
2.055891e+01	1.592633e-26
2.060630e+01	1.601318e-26
2.065380e+01	1.608310e-26
2.070141e+01	1.617104e-26
2.074914e+01	1.625959e-26
2.079697e+01	1.634875e-26
2.084491e+01	1.642052e-26
2.089296e+01	1.651078e-26
2.094112e+01	1.660167e-26
2.098940e+01	1.669318e-26
2.103778e+01	1.678531e-26
2.108628e+01	1.687807e-26
2.113489e+01	1.695273e-26
2.118361e+01	1.704663e-26
2.123244e+01	1.714115e-26
2.128139e+01	1.723633e-26
2.133045e+01	1.733213e-26
2.137962e+01	1.742858e-26
2.142891e+01	1.752568e-26
2.147830e+01	1.762343e-26
2.152782e+01	1.772183e-26
2.157744e+01	1.782088e-26
2.162719e+01	1.792059e-26
2.167704e+01	1.802096e-26
2.172701e+01	1.812199e-26
2.177710e+01	1.822369e-26
2.182730e+01	1.832605e-26
2.187762e+01	1.842908e-26
2.192805e+01	1.853279e-26
2.197860e+01	1.863716e-26
2.202926e+01	1.874222e-26
2.208005e+01	1.884796e-26
2.213095e+01	1.895438e-26
2.218196e+01	1.906149e-26
2.223310e+01	1.916928e-26
2.228435e+01	1.927776e-26
2.233572e+01	1.940885e-26
2.238721e+01	1.951886e-26
2.243882e+01	1.962957e-26
2.249055e+01	1.974098e-26
2.254239e+01	1.985309e-26
2.259436e+01	1.996590e-26
2.264644e+01	2.010222e-26
2.269865e+01	2.021659e-26
2.275097e+01	2.033167e-26
2.280342e+01	2.044748e-26
2.285599e+01	2.058739e-26
2.290868e+01	2.070477e-26
2.296149e+01	2.082287e-26
2.301442e+01	2.094170e-26
2.306747e+01	2.108525e-26
2.312065e+01	2.120568e-26
2.317395e+01	2.132684e-26
2.322737e+01	2.147320e-26
2.328091e+01	2.159598e-26
2.333458e+01	2.171949e-26
2.338837e+01	2.186869e-26
2.344229e+01	2.199384e-26
2.349633e+01	2.214500e-26
2.355049e+01	2.227178e-26
2.360478e+01	2.239932e-26
2.365920e+01	2.255336e-26
2.371374e+01	2.268255e-26
2.376840e+01	2.283858e-26
2.382319e+01	2.296944e-26
2.387811e+01	2.312747e-26
2.393316e+01	2.326001e-26
2.398833e+01	2.342005e-26
2.404363e+01	2.355428e-26
2.409905e+01	2.371635e-26
2.415461e+01	2.385226e-26
2.421029e+01	2.401637e-26
2.426610e+01	2.418160e-26
2.432204e+01	2.432015e-26
2.437811e+01	2.448743e-26
2.443431e+01	2.462769e-26
2.449063e+01	2.479704e-26
2.454709e+01	2.496751e-26
2.460368e+01	2.511044e-26
2.466039e+01	2.528300e-26
2.471724e+01	2.545669e-26
2.477422e+01	2.560231e-26
2.483133e+01	2.577809e-26
2.488857e+01	2.595503e-26
2.494595e+01	2.613311e-26
2.500345e+01	2.628239e-26
2.506109e+01	2.646154e-26
2.511886e+01	2.664183e-26
2.517677e+01	2.682327e-26
2.523481e+01	2.697535e-26
2.529298e+01	2.715890e-26
2.535129e+01	2.734360e-26
2.540973e+01	2.752946e-26
2.546830e+01	2.771647e-26
2.552701e+01	2.790465e-26
2.558586e+01	2.809399e-26
2.564484e+01	2.825267e-26
2.570396e+01	2.844415e-26
2.576321e+01	2.863680e-26
2.582260e+01	2.883062e-26
2.588213e+01	2.902562e-26
2.594179e+01	2.922180e-26
2.600160e+01	2.941915e-26
2.606154e+01	2.961768e-26
2.612161e+01	2.981740e-26
2.618183e+01	3.001830e-26
2.624219e+01	3.022039e-26
2.630268e+01	3.042366e-26
2.636331e+01	3.062814e-26
2.642409e+01	3.083380e-26
2.648500e+01	3.107524e-26
2.654606e+01	3.128349e-26
2.660725e+01	3.149295e-26
2.666859e+01	3.170359e-26
2.673006e+01	3.191544e-26
2.679168e+01	3.212850e-26
2.685344e+01	3.234276e-26
2.691535e+01	3.259425e-26
2.697739e+01	3.281113e-26
2.703958e+01	3.302922e-26
2.710192e+01	3.324851e-26
2.716439e+01	3.346902e-26
2.722701e+01	3.372782e-26
2.728978e+01	3.395096e-26
2.735269e+01	3.417532e-26
2.741574e+01	3.443862e-26
2.747894e+01	3.466562e-26
2.754229e+01	3.489385e-26
2.760578e+01	3.516165e-26
2.766942e+01	3.539252e-26
2.773320e+01	3.562462e-26
2.779713e+01	3.589695e-26
2.786121e+01	3.613171e-26
2.792544e+01	3.640715e-26
2.798981e+01	3.664457e-26
2.805434e+01	3.688321e-26
2.811901e+01	3.716320e-26
2.818383e+01	3.740452e-26
2.824880e+01	3.768762e-26
2.831392e+01	3.793161e-26
2.837919e+01	3.821783e-26
2.844461e+01	3.846451e-26
2.851018e+01	3.875385e-26
2.857591e+01	3.904488e-26
2.864178e+01	3.929568e-26
2.870781e+01	3.958983e-26
2.877398e+01	3.984332e-26
2.884032e+01	4.014061e-26
2.890680e+01	4.043960e-26
2.897344e+01	4.069722e-26
2.904023e+01	4.099934e-26
2.910717e+01	4.130316e-26
2.917427e+01	4.156491e-26
2.924152e+01	4.187187e-26
2.930893e+01	4.218052e-26
2.937650e+01	4.249086e-26
2.944422e+01	4.275822e-26
2.951209e+01	4.307171e-26
2.958012e+01	4.338688e-26
2.964831e+01	4.370376e-26
2.971666e+01	4.402233e-26
2.978516e+01	4.434260e-26
2.985383e+01	4.461846e-26
2.992265e+01	4.494187e-26
2.999163e+01	4.526698e-26
3.006076e+01	4.559378e-26
3.013006e+01	4.592227e-26
3.019952e+01	4.625247e-26
3.026913e+01	4.658435e-26
3.033891e+01	4.691793e-26
3.040885e+01	4.725320e-26
3.047895e+01	4.759017e-26
3.054921e+01	4.792882e-26
3.061963e+01	4.826918e-26
3.069022e+01	4.861122e-26
3.076097e+01	4.895496e-26
3.083188e+01	4.930038e-26
3.090295e+01	4.964749e-26
