# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	9.870228e-27
1.002305e+01	9.883717e-27
1.004616e+01	9.904043e-27
1.006932e+01	9.917642e-27
1.009253e+01	9.931273e-27
1.011579e+01	9.951789e-27
1.013911e+01	9.965523e-27
1.016249e+01	9.979291e-27
1.018591e+01	1.000002e-26
1.020939e+01	1.001389e-26
1.023293e+01	1.002781e-26
1.025652e+01	1.004874e-26
1.028016e+01	1.006276e-26
1.030386e+01	1.007681e-26
1.032761e+01	1.009799e-26
1.035142e+01	1.011214e-26
1.037528e+01	1.013347e-26
1.039920e+01	1.014775e-26
1.042317e+01	1.016207e-26
1.044720e+01	1.018362e-26
1.047129e+01	1.019806e-26
1.049542e+01	1.021978e-26
1.051962e+01	1.023432e-26
1.054387e+01	1.024891e-26
1.056818e+01	1.027088e-26
1.059254e+01	1.028558e-26
1.061696e+01	1.030772e-26
1.064143e+01	1.032255e-26
1.066596e+01	1.034488e-26
1.069055e+01	1.035983e-26
1.071519e+01	1.038234e-26
1.073989e+01	1.039740e-26
1.076465e+01	1.041253e-26
1.078947e+01	1.043530e-26
1.081434e+01	1.045055e-26
1.083927e+01	1.047350e-26
1.086426e+01	1.048889e-26
1.088930e+01	1.051204e-26
1.091440e+01	1.052755e-26
1.093956e+01	1.055089e-26
1.096478e+01	1.056654e-26
1.099006e+01	1.059010e-26
1.101539e+01	1.061377e-26
1.104079e+01	1.062962e-26
1.106624e+01	1.065350e-26
1.109175e+01	1.066950e-26
1.111732e+01	1.069359e-26
1.114295e+01	1.070972e-26
1.116863e+01	1.073403e-26
1.119438e+01	1.075031e-26
1.122018e+01	1.077482e-26
1.124605e+01	1.079947e-26
1.127197e+01	1.081598e-26
1.129796e+01	1.084085e-26
1.132400e+01	1.085750e-26
1.135011e+01	1.088260e-26
1.137627e+01	1.090783e-26
1.140250e+01	1.092472e-26
1.142878e+01	1.095019e-26
1.145513e+01	1.097578e-26
1.148154e+01	1.099293e-26
1.150800e+01	1.101876e-26
1.153453e+01	1.103607e-26
1.156112e+01	1.106214e-26
1.158777e+01	1.108836e-26
1.161449e+01	1.110590e-26
1.164126e+01	1.113237e-26
1.166810e+01	1.115897e-26
1.169499e+01	1.117680e-26
1.172195e+01	1.120365e-26
1.174898e+01	1.123064e-26
1.177606e+01	1.125779e-26
1.180321e+01	1.127598e-26
1.183042e+01	1.130341e-26
1.185769e+01	1.133096e-26
1.188502e+01	1.135868e-26
1.191242e+01	1.137726e-26
1.193988e+01	1.140524e-26
1.196741e+01	1.143337e-26
1.199499e+01	1.145222e-26
1.202264e+01	1.148064e-26
1.205036e+01	1.150922e-26
1.207814e+01	1.153796e-26
1.210598e+01	1.156686e-26
1.213389e+01	1.158621e-26
1.216186e+01	1.161539e-26
1.218990e+01	1.164475e-26
1.221800e+01	1.167427e-26
1.224616e+01	1.170395e-26
1.227439e+01	1.172383e-26
1.230269e+01	1.175382e-26
1.233105e+01	1.178396e-26
1.235947e+01	1.181429e-26
1.238797e+01	1.184480e-26
1.241652e+01	1.187547e-26
1.244515e+01	1.190633e-26
1.247384e+01	1.192700e-26
1.250259e+01	1.195817e-26
1.253141e+01	1.198951e-26
1.256030e+01	1.202104e-26
1.258925e+01	1.205274e-26
1.261828e+01	1.208465e-26
1.264736e+01	1.211673e-26
1.267652e+01	1.214901e-26
1.270574e+01	1.218147e-26
1.273503e+01	1.221412e-26
1.276439e+01	1.223601e-26
1.279381e+01	1.226899e-26
1.282331e+01	1.230216e-26
1.285287e+01	1.233554e-26
1.288250e+01	1.236910e-26
1.291219e+01	1.240287e-26
1.294196e+01	1.243683e-26
1.297179e+01	1.247101e-26
1.300170e+01	1.250537e-26
1.303167e+01	1.253996e-26
1.306171e+01	1.257474e-26
1.309182e+01	1.260973e-26
1.312200e+01	1.264493e-26
1.315225e+01	1.268034e-26
1.318257e+01	1.271596e-26
1.321296e+01	1.275179e-26
1.324342e+01	1.278784e-26
1.327394e+01	1.282410e-26
1.330454e+01	1.286059e-26
1.333521e+01	1.290957e-26
1.336596e+01	1.294655e-26
1.339677e+01	1.298376e-26
1.342765e+01	1.302121e-26
1.345860e+01	1.305885e-26
1.348963e+01	1.309674e-26
1.352073e+01	1.313486e-26
1.355189e+01	1.317320e-26
1.358313e+01	1.321177e-26
1.361445e+01	1.325057e-26
1.364583e+01	1.330268e-26
1.367729e+01	1.334202e-26
1.370882e+01	1.338160e-26
1.374042e+01	1.342144e-26
1.377209e+01	1.346150e-26
1.380384e+01	1.350180e-26
1.383566e+01	1.355592e-26
1.386756e+01	1.359679e-26
1.389953e+01	1.363790e-26
1.393157e+01	1.367927e-26
1.396368e+01	1.372089e-26
1.399587e+01	1.377675e-26
1.402814e+01	1.381896e-26
1.406048e+01	1.386142e-26
1.409289e+01	1.390413e-26
1.412538e+01	1.396148e-26
1.415794e+01	1.400478e-26
1.419058e+01	1.404835e-26
1.422329e+01	1.409219e-26
1.425608e+01	1.415105e-26
1.428894e+01	1.419550e-26
1.432188e+01	1.424023e-26
1.435489e+01	1.428522e-26
1.438799e+01	1.434563e-26
1.442115e+01	1.439125e-26
1.445440e+01	1.443715e-26
1.448772e+01	1.449878e-26
1.452112e+01	1.454532e-26
1.455459e+01	1.459215e-26
1.458814e+01	1.465502e-26
1.462177e+01	1.470250e-26
1.465548e+01	1.476625e-26
1.468926e+01	1.481441e-26
1.472313e+01	1.486285e-26
1.475707e+01	1.492788e-26
1.479108e+01	1.497701e-26
1.482518e+01	1.504296e-26
1.485936e+01	1.509277e-26
1.489361e+01	1.514288e-26
1.492794e+01	1.521018e-26
1.496236e+01	1.526098e-26
1.499685e+01	1.532920e-26
1.503142e+01	1.538073e-26
1.506607e+01	1.544991e-26
1.510080e+01	1.550217e-26
1.513561e+01	1.557232e-26
1.517050e+01	1.562530e-26
1.520548e+01	1.569643e-26
1.524053e+01	1.575015e-26
1.527566e+01	1.582228e-26
1.531087e+01	1.587674e-26
1.534617e+01	1.594987e-26
1.538155e+01	1.600511e-26
1.541700e+01	1.607925e-26
1.545254e+01	1.613525e-26
1.548817e+01	1.621044e-26
1.552387e+01	1.626722e-26
1.555966e+01	1.634346e-26
1.559553e+01	1.642029e-26
1.563148e+01	1.647831e-26
1.566751e+01	1.655621e-26
1.570363e+01	1.661504e-26
1.573983e+01	1.669402e-26
1.577611e+01	1.677361e-26
1.581248e+01	1.683373e-26
1.584893e+01	1.691444e-26
1.588547e+01	1.699577e-26
1.592209e+01	1.705719e-26
1.595879e+01	1.713965e-26
1.599558e+01	1.722275e-26
1.603245e+01	1.728551e-26
1.606941e+01	1.736976e-26
1.610646e+01	1.745467e-26
1.614359e+01	1.751879e-26
1.618080e+01	1.760485e-26
1.621810e+01	1.769159e-26
1.625549e+01	1.777901e-26
1.629296e+01	1.784502e-26
1.633052e+01	1.793363e-26
1.636817e+01	1.802293e-26
1.640590e+01	1.811293e-26
1.644372e+01	1.818088e-26
1.648162e+01	1.827209e-26
1.651962e+01	1.836403e-26
1.655770e+01	1.845665e-26
1.659587e+01	1.854999e-26
1.663413e+01	1.862048e-26
1.667247e+01	1.871509e-26
1.671091e+01	1.881042e-26
1.674943e+01	1.890649e-26
1.678804e+01	1.900330e-26
1.682674e+01	1.910084e-26
1.686553e+01	1.919914e-26
1.690441e+01	1.927334e-26
1.694338e+01	1.937295e-26
1.698244e+01	1.947332e-26
1.702159e+01	1.957444e-26
1.706082e+01	1.967634e-26
1.710015e+01	1.977901e-26
1.713957e+01	1.988247e-26
1.717908e+01	1.998670e-26
1.721869e+01	2.009170e-26
1.725838e+01	2.019752e-26
1.729816e+01	2.030413e-26
1.733804e+01	2.041153e-26
1.737801e+01	2.051974e-26
1.741807e+01	2.062877e-26
1.745822e+01	2.073861e-26
1.749847e+01	2.084927e-26
1.753881e+01	2.096076e-26
1.757924e+01	2.107306e-26
1.761976e+01	2.118622e-26
1.766038e+01	2.130020e-26
1.770109e+01	2.141503e-26
1.774189e+01	2.153071e-26
1.778279e+01	2.164725e-26
1.782379e+01	2.176464e-26
1.786488e+01	2.188290e-26
1.790606e+01	2.203194e-26
1.794734e+01	2.215216e-26
1.798871e+01	2.227325e-26
1.803018e+01	2.239522e-26
1.807174e+01	2.251808e-26
1.811340e+01	2.264185e-26
1.815516e+01	2.279780e-26
1.819701e+01	2.292360e-26
1.823896e+01	2.305028e-26
1.828100e+01	2.317789e-26
1.832314e+01	2.330643e-26
1.836538e+01	2.346838e-26
1.840772e+01	2.359899e-26
1.845015e+01	2.373054e-26
1.849269e+01	2.386302e-26
1.853532e+01	2.402995e-26
1.857804e+01	2.416457e-26
1.862087e+01	2.430014e-26
1.866380e+01	2.443667e-26
1.870682e+01	2.460868e-26
1.874995e+01	2.474738e-26
1.879317e+01	2.488707e-26
1.883649e+01	2.506305e-26
1.887991e+01	2.520493e-26
1.892344e+01	2.534781e-26
1.896706e+01	2.552781e-26
1.901078e+01	2.567293e-26
1.905461e+01	2.581906e-26
1.909853e+01	2.600316e-26
1.914256e+01	2.615155e-26
1.918669e+01	2.633851e-26
1.923092e+01	2.648922e-26
1.927525e+01	2.667906e-26
1.931968e+01	2.683211e-26
1.936422e+01	2.698619e-26
1.940886e+01	2.718028e-26
1.945360e+01	2.733673e-26
1.949845e+01	2.753378e-26
1.954339e+01	2.769262e-26
1.958845e+01	2.789265e-26
1.963360e+01	2.805390e-26
1.967886e+01	2.825697e-26
1.972423e+01	2.842065e-26
1.976970e+01	2.862678e-26
1.981527e+01	2.883462e-26
1.986095e+01	2.900213e-26
1.990673e+01	2.921307e-26
1.995262e+01	2.938309e-26
1.999862e+01	2.959715e-26
2.004472e+01	2.976967e-26
2.009093e+01	2.998690e-26
2.013724e+01	3.020590e-26
2.018366e+01	3.038238e-26
2.023019e+01	3.060459e-26
2.027683e+01	3.082859e-26
