# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	6.924191e-27
1.002305e+01	6.933929e-27
1.004616e+01	6.948519e-27
1.006932e+01	6.958232e-27
1.009253e+01	6.967938e-27
1.011579e+01	6.982487e-27
1.013911e+01	6.992182e-27
1.016249e+01	7.001861e-27
1.018591e+01	7.016377e-27
1.020939e+01	7.026042e-27
1.023293e+01	7.035698e-27
1.025652e+01	7.050177e-27
1.028016e+01	7.059821e-27
1.030386e+01	7.069461e-27
1.032761e+01	7.083906e-27
1.035142e+01	7.093527e-27
1.037528e+01	7.107956e-27
1.039920e+01	7.117559e-27
1.042317e+01	7.127162e-27
1.044720e+01	7.141558e-27
1.047129e+01	7.151149e-27
1.049542e+01	7.165520e-27
1.051962e+01	7.175101e-27
1.054387e+01	7.184668e-27
1.056818e+01	7.199018e-27
1.059254e+01	7.208582e-27
1.061696e+01	7.222914e-27
1.064143e+01	7.232463e-27
1.066596e+01	7.246781e-27
1.069055e+01	7.256315e-27
1.071519e+01	7.270615e-27
1.073989e+01	7.280143e-27
1.076465e+01	7.289673e-27
1.078947e+01	7.303954e-27
1.081434e+01	7.313469e-27
1.083927e+01	7.327736e-27
1.086426e+01	7.337247e-27
1.088930e+01	7.351504e-27
1.091440e+01	7.361003e-27
1.093956e+01	7.375247e-27
1.096478e+01	7.384735e-27
1.099006e+01	7.398970e-27
1.101539e+01	7.413205e-27
1.104079e+01	7.422684e-27
1.106624e+01	7.436908e-27
1.109175e+01	7.446383e-27
1.111732e+01	7.460597e-27
1.114295e+01	7.470070e-27
1.116863e+01	7.484277e-27
1.119438e+01	7.493742e-27
1.122018e+01	7.507944e-27
1.124605e+01	7.522141e-27
1.127197e+01	7.531608e-27
1.129796e+01	7.545801e-27
1.132400e+01	7.555260e-27
1.135011e+01	7.569452e-27
1.137627e+01	7.583636e-27
1.140250e+01	7.593095e-27
1.142878e+01	7.607281e-27
1.145513e+01	7.621468e-27
1.148154e+01	7.630925e-27
1.150800e+01	7.645113e-27
1.153453e+01	7.654568e-27
1.156112e+01	7.668752e-27
1.158777e+01	7.682940e-27
1.161449e+01	7.692397e-27
1.164126e+01	7.706588e-27
1.166810e+01	7.720777e-27
1.169499e+01	7.730239e-27
1.172195e+01	7.744435e-27
1.174898e+01	7.758634e-27
1.177606e+01	7.772828e-27
1.180321e+01	7.782296e-27
1.183042e+01	7.796502e-27
1.185769e+01	7.810711e-27
1.188502e+01	7.824928e-27
1.191242e+01	7.834404e-27
1.193988e+01	7.848622e-27
1.196741e+01	7.862850e-27
1.199499e+01	7.872337e-27
1.202264e+01	7.886568e-27
1.205036e+01	7.900809e-27
1.207814e+01	7.915054e-27
1.210598e+01	7.929308e-27
1.213389e+01	7.938818e-27
1.216186e+01	7.953080e-27
1.218990e+01	7.967354e-27
1.221800e+01	7.981638e-27
1.224616e+01	7.995922e-27
1.227439e+01	8.005453e-27
1.230269e+01	8.019754e-27
1.233105e+01	8.034066e-27
1.235947e+01	8.048391e-27
1.238797e+01	8.062719e-27
1.241652e+01	8.077065e-27
1.244515e+01	8.091412e-27
1.247384e+01	8.100990e-27
1.250259e+01	8.115358e-27
1.253141e+01	8.129741e-27
1.256030e+01	8.144134e-27
1.258925e+01	8.158536e-27
1.261828e+01	8.172955e-27
1.264736e+01	8.187389e-27
1.267652e+01	8.201828e-27
1.270574e+01	8.216292e-27
1.273503e+01	8.230760e-27
1.276439e+01	8.240413e-27
1.279381e+01	8.254908e-27
1.282331e+01	8.269420e-27
1.285287e+01	8.283946e-27
1.288250e+01	8.298483e-27
1.291219e+01	8.313043e-27
1.294196e+01	8.327614e-27
1.297179e+01	8.342201e-27
1.300170e+01	8.356807e-27
1.303167e+01	8.371429e-27
1.306171e+01	8.386072e-27
1.309182e+01	8.400732e-27
1.312200e+01	8.415408e-27
1.315225e+01	8.430105e-27
1.318257e+01	8.444819e-27
1.321296e+01	8.459551e-27
1.324342e+01	8.474306e-27
1.327394e+01	8.489080e-27
1.330454e+01	8.503879e-27
1.333521e+01	8.523638e-27
1.336596e+01	8.538481e-27
1.339677e+01	8.553350e-27
1.342765e+01	8.568238e-27
1.345860e+01	8.583147e-27
1.348963e+01	8.598082e-27
1.352073e+01	8.613040e-27
1.355189e+01	8.628025e-27
1.358313e+01	8.643031e-27
1.361445e+01	8.658061e-27
1.364583e+01	8.678135e-27
1.367729e+01	8.693223e-27
1.370882e+01	8.708342e-27
1.374042e+01	8.723478e-27
1.377209e+01	8.738647e-27
1.380384e+01	8.753845e-27
1.383566e+01	8.774143e-27
1.386756e+01	8.789401e-27
1.389953e+01	8.804691e-27
1.393157e+01	8.820002e-27
1.396368e+01	8.835346e-27
1.399587e+01	8.855853e-27
1.402814e+01	8.871268e-27
1.406048e+01	8.886711e-27
1.409289e+01	8.902191e-27
1.412538e+01	8.922867e-27
1.415794e+01	8.938421e-27
1.419058e+01	8.953998e-27
1.422329e+01	8.969613e-27
1.425608e+01	8.990486e-27
1.428894e+01	9.006171e-27
1.432188e+01	9.021897e-27
1.435489e+01	9.037656e-27
1.438799e+01	9.058726e-27
1.442115e+01	9.074568e-27
1.445440e+01	9.090443e-27
1.448772e+01	9.111664e-27
1.452112e+01	9.127626e-27
1.455459e+01	9.143630e-27
1.458814e+01	9.165020e-27
1.462177e+01	9.181108e-27
1.465548e+01	9.202618e-27
1.468926e+01	9.218792e-27
1.472313e+01	9.235009e-27
1.475707e+01	9.256699e-27
1.479108e+01	9.273007e-27
1.482518e+01	9.294819e-27
1.485936e+01	9.311231e-27
1.489361e+01	9.327678e-27
1.492794e+01	9.349680e-27
1.496236e+01	9.366228e-27
1.499685e+01	9.388359e-27
1.503142e+01	9.405012e-27
1.506607e+01	9.427288e-27
1.510080e+01	9.444042e-27
1.513561e+01	9.466454e-27
1.517050e+01	9.483316e-27
1.520548e+01	9.505872e-27
1.524053e+01	9.522848e-27
1.527566e+01	9.545553e-27
1.531087e+01	9.562635e-27
1.534617e+01	9.585491e-27
1.538155e+01	9.602690e-27
1.541700e+01	9.625696e-27
1.545254e+01	9.643013e-27
1.548817e+01	9.666184e-27
1.552387e+01	9.683617e-27
1.555966e+01	9.706945e-27
1.559553e+01	9.730361e-27
1.563148e+01	9.747993e-27
1.566751e+01	9.771576e-27
1.570363e+01	9.789331e-27
1.573983e+01	9.813086e-27
1.577611e+01	9.836942e-27
1.581248e+01	9.854899e-27
1.584893e+01	9.878931e-27
1.588547e+01	9.903056e-27
1.592209e+01	9.921223e-27
1.595879e+01	9.945536e-27
1.599558e+01	9.969949e-27
1.603245e+01	9.988332e-27
1.606941e+01	1.001293e-26
1.610646e+01	1.003764e-26
1.614359e+01	1.005624e-26
1.618080e+01	1.008114e-26
1.621810e+01	1.010615e-26
1.625549e+01	1.013127e-26
1.629296e+01	1.015018e-26
1.633052e+01	1.017550e-26
1.636817e+01	1.020093e-26
1.640590e+01	1.022649e-26
1.644372e+01	1.024573e-26
1.648162e+01	1.027148e-26
1.651962e+01	1.029736e-26
1.655770e+01	1.032335e-26
1.659587e+01	1.034947e-26
1.663413e+01	1.036913e-26
1.667247e+01	1.039547e-26
1.671091e+01	1.042192e-26
1.674943e+01	1.044850e-26
1.678804e+01	1.047522e-26
1.682674e+01	1.050205e-26
1.686553e+01	1.052902e-26
1.690441e+01	1.054933e-26
1.694338e+01	1.057653e-26
1.698244e+01	1.060385e-26
1.702159e+01	1.063132e-26
1.706082e+01	1.065891e-26
1.710015e+01	1.068664e-26
1.713957e+01	1.071451e-26
1.717908e+01	1.074252e-26
