# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	6.847981e-28
1.002305e+01	6.887974e-28
1.004616e+01	6.948582e-28
1.006932e+01	6.989405e-28
1.009253e+01	7.030567e-28
1.011579e+01	7.092947e-28
1.013911e+01	7.134966e-28
1.016249e+01	7.177329e-28
1.018591e+01	7.241533e-28
1.020939e+01	7.284779e-28
1.023293e+01	7.328381e-28
1.025652e+01	7.394462e-28
1.028016e+01	7.438969e-28
1.030386e+01	7.483845e-28
1.032761e+01	7.551853e-28
1.035142e+01	7.597660e-28
1.037528e+01	7.667076e-28
1.039920e+01	7.713830e-28
1.042317e+01	7.760970e-28
1.044720e+01	7.832406e-28
1.047129e+01	7.880520e-28
1.049542e+01	7.953430e-28
1.051962e+01	8.002537e-28
1.054387e+01	8.052043e-28
1.056818e+01	8.127064e-28
1.059254e+01	8.177590e-28
1.061696e+01	8.254152e-28
1.064143e+01	8.305715e-28
1.066596e+01	8.383845e-28
1.069055e+01	8.436460e-28
1.071519e+01	8.516188e-28
1.073989e+01	8.569877e-28
1.076465e+01	8.624003e-28
1.078947e+01	8.706010e-28
1.081434e+01	8.761235e-28
1.083927e+01	8.844905e-28
1.086426e+01	8.901245e-28
1.088930e+01	8.986609e-28
1.091440e+01	9.044086e-28
1.093956e+01	9.131166e-28
1.096478e+01	9.189802e-28
1.099006e+01	9.278629e-28
1.101539e+01	9.368521e-28
1.104079e+01	9.429041e-28
1.106624e+01	9.520723e-28
1.109175e+01	9.582450e-28
1.111732e+01	9.675953e-28
1.114295e+01	9.738904e-28
1.116863e+01	9.834255e-28
1.119438e+01	9.898445e-28
1.122018e+01	9.995677e-28
1.124605e+01	1.009405e-27
1.127197e+01	1.016027e-27
1.129796e+01	1.026056e-27
1.132400e+01	1.032806e-27
1.135011e+01	1.043031e-27
1.137627e+01	1.053374e-27
1.140250e+01	1.060335e-27
1.142878e+01	1.070878e-27
1.145513e+01	1.081541e-27
1.148154e+01	1.088718e-27
1.150800e+01	1.099586e-27
1.153453e+01	1.106900e-27
1.156112e+01	1.117975e-27
1.158777e+01	1.129175e-27
1.161449e+01	1.136712e-27
1.164126e+01	1.148125e-27
1.166810e+01	1.159665e-27
1.169499e+01	1.167430e-27
1.172195e+01	1.179187e-27
1.174898e+01	1.191074e-27
1.177606e+01	1.203093e-27
1.180321e+01	1.211180e-27
1.183042e+01	1.223422e-27
1.185769e+01	1.235798e-27
1.188502e+01	1.248311e-27
1.191242e+01	1.256728e-27
1.193988e+01	1.269469e-27
1.196741e+01	1.282349e-27
1.199499e+01	1.291012e-27
1.202264e+01	1.304125e-27
1.205036e+01	1.317380e-27
1.207814e+01	1.330776e-27
1.210598e+01	1.344316e-27
1.213389e+01	1.353423e-27
1.216186e+01	1.367203e-27
1.218990e+01	1.381130e-27
1.221800e+01	1.395203e-27
1.224616e+01	1.409424e-27
1.227439e+01	1.418988e-27
1.230269e+01	1.433457e-27
1.233105e+01	1.448077e-27
1.235947e+01	1.462849e-27
1.238797e+01	1.477773e-27
1.241652e+01	1.492851e-27
1.244515e+01	1.508082e-27
1.247384e+01	1.518323e-27
1.250259e+01	1.533814e-27
1.253141e+01	1.549462e-27
1.256030e+01	1.565269e-27
1.258925e+01	1.581234e-27
1.261828e+01	1.597359e-27
1.264736e+01	1.613644e-27
1.267652e+01	1.630092e-27
1.270574e+01	1.646702e-27
1.273503e+01	1.663476e-27
1.276439e+01	1.674751e-27
1.279381e+01	1.691800e-27
1.282331e+01	1.709015e-27
1.285287e+01	1.726398e-27
1.288250e+01	1.743948e-27
1.291219e+01	1.761667e-27
1.294196e+01	1.779557e-27
1.297179e+01	1.797618e-27
1.300170e+01	1.815850e-27
1.303167e+01	1.834255e-27
1.306171e+01	1.852834e-27
1.309182e+01	1.871587e-27
1.312200e+01	1.890516e-27
1.315225e+01	1.909621e-27
1.318257e+01	1.928904e-27
1.321296e+01	1.948364e-27
1.324342e+01	1.968004e-27
1.327394e+01	1.987824e-27
1.330454e+01	2.007825e-27
1.333521e+01	2.034775e-27
1.336596e+01	2.055201e-27
1.339677e+01	2.075811e-27
1.342765e+01	2.096607e-27
1.345860e+01	2.117587e-27
1.348963e+01	2.138753e-27
1.352073e+01	2.160108e-27
1.355189e+01	2.181650e-27
1.358313e+01	2.203381e-27
1.361445e+01	2.225302e-27
1.364583e+01	2.254826e-27
1.367729e+01	2.277194e-27
1.370882e+01	2.299754e-27
1.374042e+01	2.322507e-27
1.377209e+01	2.345455e-27
1.380384e+01	2.368598e-27
1.383566e+01	2.399760e-27
1.386756e+01	2.423360e-27
1.389953e+01	2.447159e-27
1.393157e+01	2.471157e-27
1.396368e+01	2.495354e-27
1.399587e+01	2.527928e-27
1.402814e+01	2.552594e-27
1.406048e+01	2.577463e-27
1.409289e+01	2.602533e-27
1.412538e+01	2.636278e-27
1.415794e+01	2.661825e-27
1.419058e+01	2.687577e-27
1.422329e+01	2.713537e-27
1.425608e+01	2.748470e-27
1.428894e+01	2.774912e-27
1.432188e+01	2.801563e-27
1.435489e+01	2.828424e-27
1.438799e+01	2.864565e-27
1.442115e+01	2.891916e-27
1.445440e+01	2.919479e-27
1.448772e+01	2.956561e-27
1.452112e+01	2.984622e-27
1.455459e+01	3.012896e-27
1.458814e+01	3.050929e-27
1.462177e+01	3.079705e-27
1.465548e+01	3.118410e-27
1.468926e+01	3.147692e-27
1.472313e+01	3.177194e-27
1.475707e+01	3.216868e-27
1.479108e+01	3.246879e-27
1.482518e+01	3.287237e-27
1.485936e+01	3.317763e-27
1.489361e+01	3.348512e-27
1.492794e+01	3.389855e-27
1.496236e+01	3.421123e-27
1.499685e+01	3.463161e-27
1.503142e+01	3.494952e-27
1.506607e+01	3.537690e-27
1.510080e+01	3.570008e-27
1.513561e+01	3.613451e-27
1.517050e+01	3.646298e-27
1.520548e+01	3.690449e-27
1.524053e+01	3.723829e-27
1.527566e+01	3.768692e-27
1.531087e+01	3.802609e-27
1.534617e+01	3.848190e-27
1.538155e+01	3.882645e-27
1.541700e+01	3.928947e-27
1.545254e+01	3.963945e-27
1.548817e+01	4.010971e-27
