# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
4.119416236877441406e+00 8.245762682579619793e-03 4.697534515461527227e-01 1.693772809699161552e+00 1.701949187980911660e+00
4.125435829162597656e+00 8.157182437689780921e-03 4.357633105510611560e-01 1.690762380589208247e+00 1.385520636313164466e+00
4.131454944610595703e+00 7.941931387116405935e-03 4.158619932208277858e-01 1.779852104560190940e+00 1.264661368027495403e+00
4.137474060058593750e+00 8.478373306127901660e-03 4.162268261383462731e-01 1.892397016480155569e+00 1.088930849687882008e+00
4.143493652343750000e+00 8.240221106060404213e-03 3.799954017919993099e-01 1.844566253355292007e+00 9.024668259785217916e-01
4.149513244628906250e+00 8.449853741263110146e-03 3.617762013940689636e-01 1.841900171088302285e+00 7.900853513652921212e-01
4.155532360076904297e+00 7.637416857093431988e-03 3.210219724640336336e-01 1.670396455904656463e+00 6.209357141015773296e-01
4.161551475524902344e+00 7.453761380219827565e-03 2.884708576811464975e-01 1.676276929314459929e+00 5.499650866795564585e-01
4.167571067810058594e+00 7.788489027815172043e-03 2.789561924036760843e-01 1.592166084979144802e+00 4.611204985496498709e-01
4.173590660095214844e+00 6.833979594457514038e-03 2.329934333632096843e-01 1.486584199794756200e+00 3.917187837402179573e-01
4.179609775543212891e+00 7.617620196457595277e-03 2.381528045086721002e-01 1.497591508034493035e+00 3.572982398006688265e-01
4.185628890991210938e+00 7.199289177959982029e-03 2.166649139797954815e-01 1.241169998762692739e+00 2.806512816993640413e-01
4.191648483276367188e+00 6.399657825291644488e-03 1.909104285731936801e-01 1.208842781288528956e+00 2.569048759103056967e-01
4.197668075561523438e+00 6.638474625066956639e-03 1.751250548689375908e-01 1.070804409317967387e+00 2.127021454160381575e-01
4.203687191009521484e+00 6.847086524848664153e-03 1.691688986982413101e-01 9.481572058425069560e-01 1.833379189610244153e-01
4.209706306457519531e+00 6.684421509272229708e-03 1.614384076275307001e-01 1.041593091947002447e+00 1.800625675346352872e-01
4.215725898742675781e+00 6.576198963553333589e-03 1.390096204108577649e-01 6.515583927764575511e-01 1.210712941751196370e-01
4.221745491027832031e+00 6.880800718602455603e-03 1.416499156711311658e-01 5.288915808914614880e-01 1.013635568260937148e-01
4.227764606475830078e+00 6.021102175973409854e-03 1.183963668091950749e-01 3.862261045581300567e-01 7.663198350429632766e-02
4.233783721923828125e+00 6.744290951367731130e-03 1.152285925788161386e-01 3.295632988331936852e-01 6.665011461167225093e-02
4.239803314208984375e+00 5.673879266372691861e-03 1.007365098875467602e-01 2.530207056810934718e-01 5.486486386937244886e-02
4.245822906494140625e+00 6.291588588103396579e-03 1.072477147858624386e-01 2.584994099808302637e-01 5.584684553813139274e-02
4.251842021942138672e+00 5.768937713331014940e-03 9.071583326263121805e-02 1.898264749417367114e-01 4.295578757453469981e-02
4.257861137390136719e+00 5.757089084628888055e-03 8.609478713765608693e-02 1.770731422713619774e-01 3.959666942947243778e-02
4.263880729675292969e+00 6.215574675729231002e-03 9.253630749372737663e-02 1.842142602512014948e-01 4.175257723356398665e-02
4.269900321960449219e+00 6.434210935209715328e-03 8.603567820401659960e-02 1.592976181541957414e-01 3.593791182054546784e-02
4.275919437408447266e+00 5.861950662041615426e-03 7.674335447509314512e-02 1.331286690970617526e-01 2.983740328024296964e-02
4.281938552856445312e+00 6.618406293888151951e-03 8.547310597309416835e-02 1.264982605258562209e-01 3.102597306648614134e-02
4.287958145141601562e+00 6.794440521556514671e-03 8.559153339353751944e-02 1.317436775387136050e-01 3.097724106136667821e-02
4.293977737426757812e+00 5.888897356784638000e-03 7.120335128153670867e-02 9.935087798080576016e-02 2.453613365920813416e-02
4.299996852874755859e+00 5.309858391590594785e-03 6.446985779938278760e-02 9.561412675313156473e-02 2.303285708951720301e-02
4.306015968322753906e+00 5.692050424648137548e-03 6.493866669220332843e-02 9.184828029903628621e-02 2.157091886315680093e-02
4.312035560607910156e+00 6.263636178502577680e-03 7.183114669528831153e-02 1.042242368823365489e-01 2.449156519662497311e-02
4.318055152893066406e+00 5.325593349747441939e-03 5.870386537760889645e-02 7.950096775760270851e-02 1.920947557683272758e-02
4.324074268341064453e+00 6.128006197444501799e-03 6.415659026749408189e-02 8.398405100967870629e-02 2.026631222296668838e-02
4.330093860626220703e+00 7.076878043449464500e-03 7.156707299282968893e-02 8.471374642203056970e-02 2.089216929586181631e-02
4.336112976074218750e+00 6.469992388676944726e-03 6.810276157610825609e-02 8.796931210178461635e-02 2.065743325626437366e-02
4.342132568359375000e+00 5.442028394983574290e-03 5.997162221184139386e-02 8.547278255276752335e-02 1.900998566206034066e-02
4.348152160644531250e+00 6.876180082608016747e-03 6.866918183355159855e-02 8.617007715792969480e-02 1.999594649310928660e-02
4.354171276092529297e+00 6.515375828710888439e-03 6.453911997760257424e-02 8.975848796799672236e-02 1.977883086782546845e-02
4.360190391540527344e+00 6.343111902633388408e-03 6.174813673099987382e-02 9.357655613981662179e-02 1.911495111839200609e-02
4.366209983825683594e+00 7.177872505390809135e-03 6.556279611723898892e-02 8.730175249969425455e-02 1.894966193145497524e-02
4.372229576110839844e+00 7.298777598489061477e-03 6.606436286641700906e-02 8.683497396880138219e-02 1.897988283292298059e-02
4.378248691558837891e+00 7.556453699845564614e-03 6.549985081798075093e-02 8.658402444292460920e-02 1.842192395252096465e-02
4.384267807006835938e+00 6.963499835989888156e-03 6.627097009138582795e-02 1.191853214765465491e-01 2.272639916241748353e-02
